Source title,Source Type,ISSN,EISSN,Publisher,Country/Region,Language,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8
Advances in Aerodynamics ,Journal,20973462,25246992,Springer Nature,China,ENGLISH,"Renewable Energy, Sustainability and the Environment",Aerospace Engineering,Civil and Structural Engineering,Mechanical Engineering,Modeling and Simulation,-,-,-
Advances in Applied Ceramics,Journal,17436753,17436761,SAGE Publications Ltd,United Kingdom,ENGLISH,Industrial and Manufacturing Engineering,Ceramics and Composites,-,-,-,-,-,-
Advances in Applied Mathematics,Journal,01968858,10902074,Academic Press Inc.,United States,ENGLISH,Applied Mathematics,-,-,-,-,-,-,-
Advances in Applied Probability,Journal,00018678,14756064,Cambridge University Press,United Kingdom,ENGLISH,Applied Mathematics,Statistics and Probability,-,-,-,-,-,-
Advances in Astronautics,Journal,30592968,30592976,Springer,Singapore,ENGLISH,Space and Planetary Science,Aerospace Engineering,-,-,-,-,-,-
Advances in Bridge Engineering,Journal,-,26625407,Springer,Singapore,ENGLISH,Civil and Structural Engineering,Building and Construction,-,-,-,-,-,-
Advances in Building Energy Research,Journal,17512549,17562201,Taylor and Francis Ltd.,United Kingdom,ENGLISH,Building and Construction,-,-,-,-,-,-,-
Advances in Cement Research,Journal,09517197,17517605,Emerald Publishing,United Kingdom,ENGLISH,Building and Construction,Materials Science (all),-,-,-,-,-,-
Advances in Civil Engineering Materials,Journal,23791357,21653984,ASTM International,United States,ENGLISH,Civil and Structural Engineering,Mechanics of Materials,Ceramics and Composites,Materials Chemistry,Metals and Alloys,Polymers and Plastics,-,-
Advances in Colloid and Interface Science,Journal,00018686,-,Elsevier B.V.,Netherlands,ENGLISH,Colloid and Surface Chemistry,Physical and Theoretical Chemistry,Surfaces and Interfaces,-,-,-,-,-
Advances in Data Analysis and Classification,Journal,18625347,18625355,Springer Science and Business Media Deutschland GmbH,Germany,ENGLISH,Computer Science Applications,Applied Mathematics,-,-,-,-,-,-
Advances in Engineering Education,Journal,-,19411766,American Society for Engineering Education,United States,ENGLISH,Engineering (all),Education,-,-,-,-,-,-
Advances in Engineering Software,Journal,09659978,18735339,Elsevier Ltd,United Kingdom,ENGLISH,Software,Engineering (all),-,-,-,-,-,-
Advances in Geo-Energy Research,Journal,22079963,2208598X,Yandy Scientific Press,Hong Kong,ENGLISH,Geotechnical Engineering and Engineering Geology,Energy Engineering and Power Technology,Mechanics of Materials,-,-,-,-,-
Advances in High Energy Physics,Journal,16877357,16877365,John Wiley and Sons Ltd,United Kingdom,ENGLISH,Nuclear and High Energy Physics,-,-,-,-,-,-,-
Advances in Manufacturing,Journal,20953127,21953597,Shanghai University,China,ENGLISH,Industrial and Manufacturing Engineering,Mechanical Engineering,Mechanics of Materials,Polymers and Plastics,-,-,-,-
Advances in Materials Science and Engineering,Journal,16878434,16878442,John Wiley and Sons Ltd,United Kingdom,ENGLISH,Engineering (all),Materials Science (all),-,-,-,-,-,-
Advances in Materials Technology for Fossil Power Plants,Journal,29944023,29944031,ASM International,United States,ENGLISH,Energy Engineering and Power Technology,Fuel Technology,"Renewable Energy, Sustainability and the Environment",-,-,-,-,-
Advances in Mechanics,Journal,10000992,-,Chinese Academy of Mechanics,China,CHINESE,Mechanical Engineering,Mathematical Physics,-,-,-,-,-,-
Advances in Nano Research,Journal,2287237X,22872388,Techno-Press,South Korea,ENGLISH,Biotechnology,Catalysis,Fluid Flow and Transfer Processes,Electrical and Electronic Engineering,Mechanical Engineering,Ceramics and Composites,"Electronic, Optical and Magnetic Materials","Atomic and Molecular Physics, and Optics"
Advances in Natural Sciences: Nanoscience and Nanotechnology,Journal,-,20436262,Institute of Physics,United Kingdom,ENGLISH,Electrical and Electronic Engineering,Industrial and Manufacturing Engineering,Materials Science (all),-,-,-,-,-
Advances in Optics and Photonics,Journal,-,19438206,Optica Publishing Group (formerly OSA),United States,ENGLISH,Water Science and Technology,"Atomic and Molecular Physics, and Optics",-,-,-,-,-,-
Advances in Physics,Journal,00018732,14606976,Taylor and Francis Ltd.,United Kingdom,ENGLISH,Condensed Matter Physics,-,-,-,-,-,-,-
Advances in Polymer Technology,Journal,07306679,10982329,John Wiley and Sons Inc,China,ENGLISH,Chemical Engineering (all),Organic Chemistry,Polymers and Plastics,-,-,-,-,-
Advances in Radio Science,Journal,16849965,16849973,Copernicus Publications,Germany,ENGLISH,Electrical and Electronic Engineering,-,-,-,-,-,-,-
"Advances in Science and Engineering Technology International Conferences, ASET",Journal,28316886,28316878,Institute of Electrical and Electronics Engineers Inc.,United States,ENGLISH,Energy Engineering and Power Technology,"Renewable Energy, Sustainability and the Environment",Civil and Structural Engineering,Mechanics of Materials,"Safety, Risk, Reliability and Quality",Waste Management and Disposal,Water Science and Technology,-
Advances in Space Research,Journal,02731177,18791948,Elsevier Ltd,United Kingdom,ENGLISH,Earth and Planetary Sciences (all),Atmospheric Science,Geophysics,Space and Planetary Science,Aerospace Engineering,Astronomy and Astrophysics,-,-
Advances in Structural Engineering,Journal,13694332,20484011,SAGE Publications Inc.,United Kingdom,ENGLISH,Civil and Structural Engineering,Building and Construction,-,-,-,-,-,-
Advances in Transportation Studies,Journal,18245463,-,Aracne Editrice,Italy,ENGLISH,Automotive Engineering,Civil and Structural Engineering,"Safety, Risk, Reliability and Quality",Transportation,-,-,-,-
Advances in Water Resources,Journal,03091708,-,Elsevier Ltd,United Kingdom,ENGLISH,Water Science and Technology,-,-,-,-,-,-,-
Advances in Water Science,Journal,10016791,-,Science Press,China,CHINESE,Earth and Planetary Sciences (all),-,-,-,-,-,-,-
Advancing Microelectronics,Journal,22228748,-,IMAPS-International Microelectronics and Packaging Society,United States,ENGLISH,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Aeronautical Journal,Journal,00019240,20596464,Cambridge University Press,United Kingdom,ENGLISH,Aerospace Engineering,-,-,-,-,-,-,-
Aerosol and Air Quality Research,Journal,16808584,20711409,Springer International Publishing,Switzerland,ENGLISH,Environmental Chemistry,Pollution,-,-,-,-,-,-
Aerosol Science and Engineering,Journal,2510375X,25103768,Springer,Singapore,ENGLISH,Environmental Chemistry,Pollution,Materials Science (all),-,-,-,-,-
Aerosol Science and Technology,Journal,02786826,15217388,Taylor and Francis Ltd.,United States,ENGLISH,Environmental Chemistry,Pollution,Materials Science (all),-,-,-,-,-
Aerospace,Journal,-,22264310,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,ENGLISH,Aerospace Engineering,-,-,-,-,-,-,-
Aerospace Science and Technology,Journal,12709638,-,Elsevier Masson s.r.l.,France,ENGLISH,Aerospace Engineering,-,-,-,-,-,-,-
Aerospace Systems,Journal,-,25233955,Springer Nature,Singapore,ENGLISH,Computers in Earth Sciences,Space and Planetary Science,Aerospace Engineering,Control and Systems Engineering,Mechanical Engineering,Social Sciences (miscellaneous),-,-
AES: Journal of the Audio Engineering Society,Journal,15494950,-,Audio Engineering Society,United States,ENGLISH,Music,Engineering (all),-,-,-,-,-,-
AEU - International Journal of Electronics and Communications,Journal,14348411,16180399,Elsevier GmbH,Germany,ENGLISH,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Aggregate,Journal,27668541,26924560,John Wiley and Sons Inc,United States,ENGLISH,Molecular Biology,Chemistry (miscellaneous),Materials Science (miscellaneous),Materials Chemistry,-,-,-,-
Agricultural Research,Journal,2249720X,22497218,Springer,India,ENGLISH,Agronomy and Crop Science,Food Science,Plant Science,-,-,-,-,-
Agricultural Water Management,Journal,03783774,18732283,Elsevier B.V.,Netherlands,ENGLISH,Agronomy and Crop Science,Soil Science,Earth-Surface Processes,Water Science and Technology,-,-,-,-
AI and Society,Journal,09515666,14355655,Springer Science and Business Media Deutschland GmbH,United Kingdom,ENGLISH,Philosophy,Artificial Intelligence,Human-Computer Interaction,-,-,-,-,-
AI in Civil Engineering,Journal,20970943,27305392,Springer Nature,Singapore,ENGLISH,Artificial Intelligence,Civil and Structural Engineering,Building and Construction,-,-,-,-,-
AI Magazine,Journal,07384602,23719621,John Wiley and Sons Inc,United States,ENGLISH,Artificial Intelligence,-,-,-,-,-,-,-
AI Open,Journal,-,26666510,KeAi Communications Co.,China,ENGLISH,Computer Science (miscellaneous),Artificial Intelligence,Computer Science Applications,Computer Vision and Pattern Recognition,Human-Computer Interaction,Information Systems,Software,-
AIAA Journal,Journal,00011452,1533385X,AIAA International,United States,ENGLISH,Aerospace Engineering,-,-,-,-,-,-,-
AIChE Journal,Journal,00011541,15475905,John Wiley and Sons Inc,United States,ENGLISH,Biotechnology,Chemical Engineering (all),Environmental Engineering,-,-,-,-,-
AIJ Journal of Technology and Design,Journal,13419463,18818188,Architectural Institute of Japan,Japan,JAPANESE,Building and Construction,Architecture,-,-,-,-,-,-
AIMS Bioengineering,Journal,-,23751495,American Institute of Mathematical Sciences,United States,ENGLISH,Biotechnology,Bioengineering,Engineering (miscellaneous),Biomedical Engineering,-,-,-,-
AIMS Electronics and Electrical Engineering,Journal,-,25781588,American Institute of Mathematical Sciences,United States,ENGLISH,Computer Science Applications,Control and Systems Engineering,Electrical and Electronic Engineering,-,-,-,-,-
AIMS Energy,Journal,23338326,23338334,AIMS Press,United States,ENGLISH,Energy Engineering and Power Technology,Fuel Technology,"Renewable Energy, Sustainability and the Environment",-,-,-,-,-
AIMS Environmental Science,Journal,-,23720352,American Institute of Mathematical Sciences,United States,ENGLISH,Environmental Science (all),-,-,-,-,-,-,-
Ain Shams Engineering Journal,Journal,20904479,20904495,Ain Shams University,Egypt,ENGLISH,Engineering (all),-,-,-,-,-,-,-
AIP Advances,Journal,-,21583226,American Institute of Physics,United States,ENGLISH,Physics and Astronomy (all),-,-,-,-,-,-,-
Aircraft Engineering and Aerospace Technology,Journal,17488842,17584213,Emerald Publishing,United Kingdom,ENGLISH,Aerospace Engineering,-,-,-,-,-,-,-
Algebras and Representation Theory,Journal,1386923X,15729079,Springer Science and Business Media B.V.,Netherlands,ENGLISH,Mathematics (all),-,-,-,-,-,-,-
Algorithmica,Journal,01784617,14320541,Springer,United States,ENGLISH,Computer Science (all),Computer Science Applications,Applied Mathematics,-,-,-,-,-
Algorithms,Journal,-,19994893,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,ENGLISH,Computational Theory and Mathematics,Computational Mathematics,Numerical Analysis,Theoretical Computer Science,-,-,-,-
American City and County,Journal,0149337X,-,UBM Exhibition Singapore PTE LTD,United States,ENGLISH,Civil and Structural Engineering,Water Science and Technology,-,-,-,-,-,-
American Heart Journal Plus: Cardiology Research and Practice,Journal,-,26666022,Elsevier Inc.,United States,ENGLISH,Cardiology and Cardiovascular Medicine,-,-,-,-,-,-,-
American Journal of Biochemistry and Biotechnology,Journal,15533468,15586332,Science Publications,United States,ENGLISH,Biochemistry,Biotechnology,-,-,-,-,-,-
American Journal of Mathematical and Management Sciences,Journal,01966324,-,Taylor and Francis Ltd.,United States,ENGLISH,"Business, Management and Accounting (all)",Applied Mathematics,-,-,-,-,-,-
American Mineralogist,Journal,0003004X,19453027,Walter de Gruyter GmbH,United States,ENGLISH,Geochemistry and Petrology,Geophysics,-,-,-,-,-,-
Analog Integrated Circuits and Signal Processing,Journal,09251030,15731979,Springer,United States,ENGLISH,Hardware and Architecture,Signal Processing,"Surfaces, Coatings and Films",-,-,-,-,-
Analysis and Sensing,Journal,-,26292742,Wiley-VCH Verlag,Germany,ENGLISH,Biochemistry,Analytical Chemistry,Electrochemistry,Spectroscopy,Environmental Science (miscellaneous),-,-,-
Analyst ,Journal,00032654,13645528,Royal Society of Chemistry,United Kingdom,ENGLISH,Biochemistry,Analytical Chemistry,Electrochemistry,Spectroscopy,Environmental Chemistry,-,-,-
Analytic Methods in Accident Research,Journal,22136657,-,Elsevier Ltd,United Kingdom,ENGLISH,Safety Research,Transportation,-,-,-,-,-,-
Analytica Chimica Acta,Journal,00032670,18734324,Elsevier B.V.,Netherlands,ENGLISH/FRENCH/GERMAN,Biochemistry,Analytical Chemistry,Spectroscopy,Environmental Chemistry,-,-,-,-
Analytical and Bioanalytical Chemistry,Journal,16182642,16182650,Springer Science and Business Media Deutschland GmbH,Germany,ENGLISH,Biochemistry,Analytical Chemistry,-,-,-,-,-,-
Analytical Biochemistry,Journal,00032697,10960309,Academic Press Inc.,United States,ENGLISH,Biochemistry,Biophysics,Cell Biology,Molecular Biology,-,-,-,-
Analytical Chemistry,Journal,00032700,15206882,American Chemical Society,United States,ENGLISH,Analytical Chemistry,-,-,-,-,-,-,-
Analytical Chemistry Letters,Journal,22297928,22307532,Taylor and Francis Ltd.,United Kingdom,ENGLISH,Food Science,Chemistry (all),Analytical Chemistry,Electrochemistry,Spectroscopy,Environmental Chemistry,Materials Science (all),Materials Chemistry
Analytical Methods,Journal,17599660,17599679,Royal Society of Chemistry,United Kingdom,ENGLISH,Chemical Engineering (all),Analytical Chemistry,Engineering (all),-,-,-,-,-
Analytical Science Advances,Journal,-,26285452,John Wiley and Sons Inc,United States,ENGLISH,Chemical Engineering (miscellaneous),Process Chemistry and Technology,Analytical Chemistry,Biomedical Engineering,Environmental Science (miscellaneous),Materials Science (all),-,-
Analytical Sciences,Journal,09106340,13482246,Springer,Singapore,ENGLISH,Analytical Chemistry,-,-,-,-,-,-,-
Angewandte Chemie - International Edition,Journal,14337851,15213773,John Wiley and Sons Inc,Germany,ENGLISH,Catalysis,Chemistry (all),-,-,-,-,-,-
Animal Biotechnology,Journal,10495398,15322378,Taylor and Francis Ltd.,United States,ENGLISH,Animal Science and Zoology,Biotechnology,Bioengineering,-,-,-,-,-
Annalen der Physik,Journal,00033804,15213889,John Wiley and Sons Inc,Germany,ENGLISH,Physics and Astronomy (all),-,-,-,-,-,-,-
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire,Journal,02941449,18731430,European Mathematical Society Publishing House,France,ENGLISH,Analysis,Applied Mathematics,Mathematical Physics,-,-,-,-,-
Annales des Telecommunications/Annals of Telecommunications,Journal,00034347,19589395,Springer Science and Business Media Deutschland GmbH,Switzerland,ENGLISH/FRENCH,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Annals of Biomedical Engineering,Journal,00906964,15739686,Springer,United States,ENGLISH,Biomedical Engineering,-,-,-,-,-,-,-
Annals of Computer Science and Information Systems,Journal,-,23005963,Polskie Towarzystwo Informatyczne,United States,ENGLISH,Artificial Intelligence,Computer Science Applications,Information Systems,Information Systems and Management,-,-,-,-
Annals of Data Science,Journal,21985804,21985812,Springer Science and Business Media Deutschland GmbH,Germany,ENGLISH,"Business, Management and Accounting (miscellaneous)",Artificial Intelligence,Computer Science Applications,"Statistics, Probability and Uncertainty",-,-,-,-
Annals of Emerging Technologies in Computing,Journal,25160281,2516029X,International Association for Educators and Researchers (IAER),United Kingdom,ENGLISH,Computer Science (all),Electrical and Electronic Engineering,-,-,-,-,-,-
Annals of Human Biology,Journal,03014460,14645033,Taylor and Francis Ltd.,United Kingdom,ENGLISH,Aging,Genetics,Physiology,Epidemiology,"Public Health, Environmental and Occupational Health",-,-,-
Annals of Nuclear Energy,Journal,03064549,18732100,Elsevier Ltd,United Kingdom,ENGLISH,Nuclear Energy and Engineering,-,-,-,-,-,-,-
Annals of Science,Journal,00033790,1464505X,Taylor and Francis Ltd.,United Kingdom,ENGLISH,History and Philosophy of Science,-,-,-,-,-,-,-
Annals of the Institute of Statistical Mathematics,Journal,00203157,15729052,Springer,Japan,ENGLISH,Statistics and Probability,-,-,-,-,-,-,-
"Annals of the University Dunarea de Jos of Galati, Fascicle VI: Food Technology",Journal,18435157,2068259X,Galati University Press,Romania,ENGLISH,Food Science,Industrial and Manufacturing Engineering,-,-,-,-,-,-
Annals of Work Exposures and Health,Journal,23987308,23987316,Oxford University Press,United Kingdom,ENGLISH,"Public Health, Environmental and Occupational Health",-,-,-,-,-,-,-
Annual Conference for Protective Relay Engineers (United States),Journal,24749753,24749745,Institute of Electrical and Electronics Engineers Inc.,United States,ENGLISH,Energy Engineering and Power Technology,Electrical and Electronic Engineering,"Safety, Risk, Reliability and Quality",-,-,-,-,-
